python main.py restaurant-json-Senna.txt elman restaurant-elman-Senna-3-50-50 3 50 50 true
[learning] epoch 0 >> 0.03% completed in 0.11 (sec) <<
[learning] epoch 0 >> 5.05% completed in 22.57 (sec) <<
[learning] epoch 0 >> 5.08% completed in 22.83 (sec) <<
[learning] epoch 0 >> 5.11% completed in 22.98 (sec) <<
[learning] epoch 0 >> 5.14% completed in 23.13 (sec) <<
[learning] epoch 0 >> 5.18% completed in 23.51 (sec) <<
[learning] epoch 0 >> 5.21% completed in 23.71 (sec) <<
[learning] epoch 0 >> 5.24% completed in 23.82 (sec) <<
[learning] epoch 0 >> 5.27% completed in 24.07 (sec) <<
[learning] epoch 0 >> 5.30% completed in 24.39 (sec) <<
[learning] epoch 0 >> 5.34% completed in 24.63 (sec) <<
[learning] epoch 0 >> 5.37% completed in 24.68 (sec) <<
[learning] epoch 0 >> 5.40% completed in 24.72 (sec) <<
[learning] epoch 0 >> 5.43% completed in 24.81 (sec) <<
[learning] epoch 0 >> 5.46% completed in 24.89 (sec) <<
[learning] epoch 0 >> 5.50% completed in 24.93 (sec) <<
[learning] epoch 0 >> 5.53% completed in 25.05 (sec) <<
[learning] epoch 0 >> 5.56% completed in 25.12 (sec) <<
[learning] epoch 0 >> 5.59% completed in 25.26 (sec) <<
[learning] epoch 0 >> 5.63% completed in 25.52 (sec) <<
[learning] epoch 0 >> 5.66% completed in 25.59 (sec) <<
[learning] epoch 0 >> 5.69% completed in 25.82 (sec) <<
[learning] epoch 0 >> 5.72% completed in 25.85 (sec) <<
[learning] epoch 0 >> 5.75% completed in 25.95 (sec) <<
[learning] epoch 0 >> 5.79% completed in 26.04 (sec) <<
[learning] epoch 0 >> 5.82% completed in 26.15 (sec) <<
[learning] epoch 0 >> 5.85% completed in 26.30 (sec) <<
[learning] epoch 0 >> 5.88% completed in 26.53 (sec) <<
[learning] epoch 0 >> 5.91% completed in 26.67 (sec) <<
[learning] epoch 0 >> 5.95% completed in 26.94 (sec) <<
[learning] epoch 0 >> 5.98% completed in 27.07 (sec) <<
[learning] epoch 0 >> 6.01% completed in 27.11 (sec) <<
[learning] epoch 0 >> 6.04% completed in 27.34 (sec) <<
[learning] epoch 0 >> 6.08% completed in 27.44 (sec) <<
[learning] epoch 0 >> 6.11% completed in 27.50 (sec) <<
[learning] epoch 0 >> 6.14% completed in 27.55 (sec) <<
[learning] epoch 0 >> 6.17% completed in 27.78 (sec) <<
[learning] epoch 0 >> 6.20% completed in 27.87 (sec) <<
[learning] epoch 0 >> 6.24% completed in 28.01 (sec) <<
[learning] epoch 0 >> 6.27% completed in 28.09 (sec) <<
[learning] epoch 0 >> 6.30% completed in 28.25 (sec) <<
[learning] epoch 0 >> 6.33% completed in 28.59 (sec) <<
[learning] epoch 0 >> 6.36% completed in 28.65 (sec) <<
[learning] epoch 0 >> 6.40% completed in 28.77 (sec) <<
[learning] epoch 0 >> 6.43% completed in 28.83 (sec) <<
[learning] epoch 0 >> 6.46% completed in 29.10 (sec) <<
[learning] epoch 0 >> 6.49% completed in 29.31 (sec) <<
[learning] epoch 0 >> 6.53% completed in 29.37 (sec) <<
[learning] epoch 0 >> 6.56% completed in 29.58 (sec) <<
[learning] epoch 0 >> 6.59% completed in 29.63 (sec) <<
[learning] epoch 0 >> 6.62% completed in 29.67 (sec) <<
[learning] epoch 0 >> 6.65% completed in 29.77 (sec) <<
[learning] epoch 0 >> 6.69% completed in 30.79 (sec) <<
[learning] epoch 0 >> 6.72% completed in 31.03 (sec) <<
[learning] epoch 0 >> 6.75% completed in 31.41 (sec) <<
[learning] epoch 0 >> 6.78% completed in 31.82 (sec) <<
[learning] epoch 0 >> 6.81% completed in 32.03 (sec) <<
[learning] epoch 0 >> 6.85% completed in 32.21 (sec) <<
[learning] epoch 0 >> 6.88% completed in 32.43 (sec) <<
[learning] epoch 0 >> 6.91% completed in 32.86 (sec) <<
[learning] epoch 0 >> 6.94% completed in 33.40 (sec) <<
[learning] epoch 0 >> 6.98% completed in 33.55 (sec) <<
[learning] epoch 0 >> 7.01% completed in 33.64 (sec) <<
[learning] epoch 0 >> 7.04% completed in 33.72 (sec) <<
[learning] epoch 0 >> 7.07% completed in 33.94 (sec) <<
[learning] epoch 0 >> 7.10% completed in 34.16 (sec) <<
[learning] epoch 0 >> 7.14% completed in 34.54 (sec) <<
[learning] epoch 0 >> 7.17% completed in 34.72 (sec) <<
[learning] epoch 0 >> 7.20% completed in 35.22 (sec) <<
[learning] epoch 0 >> 7.23% completed in 35.62 (sec) <<
[learning] epoch 0 >> 7.26% completed in 36.00 (sec) <<
[learning] epoch 0 >> 7.30% completed in 36.39 (sec) <<
[learning] epoch 0 >> 7.33% completed in 36.66 (sec) <<
[learning] epoch 0 >> 7.36% completed in 37.02 (sec) <<
[learning] epoch 0 >> 7.39% completed in 37.08 (sec) <<
[learning] epoch 0 >> 7.43% completed in 37.13 (sec) <<
[learning] epoch 0 >> 7.46% completed in 37.89 (sec) <<
[learning] epoch 0 >> 7.49% completed in 38.26 (sec) <<
[learning] epoch 0 >> 7.52% completed in 38.35 (sec) <<
[learning] epoch 0 >> 7.55% completed in 38.52 (sec) <<
[learning] epoch 0 >> 7.59% completed in 38.78 (sec) <<
[learning] epoch 0 >> 7.62% completed in 38.90 (sec) <<
[learning] epoch 0 >> 7.65% completed in 39.81 (sec) <<
[learning] epoch 0 >> 7.68% completed in 40.00 (sec) <<
[learning] epoch 0 >> 7.71% completed in 40.18 (sec) <<
[learning] epoch 0 >> 7.75% completed in 40.95 (sec) <<
[learning] epoch 0 >> 7.78% completed in 41.92 (sec) <<
[learning] epoch 0 >> 7.81% completed in 42.40 (sec) <<
[learning] epoch 0 >> 7.84% completed in 42.89 (sec) <<
[learning] epoch 0 >> 7.88% completed in 43.18 (sec) <<
[learning] epoch 0 >> 7.91% completed in 43.37 (sec) <<
[learning] epoch 0 >> 7.94% completed in 43.48 (sec) <<
[learning] epoch 0 >> 7.97% completed in 43.74 (sec) <<
[learning] epoch 0 >> 8.00% completed in 43.94 (sec) <<
[learning] epoch 0 >> 8.04% completed in 45.00 (sec) <<
[learning] epoch 0 >> 8.07% completed in 45.05 (sec) <<
[learning] epoch 0 >> 8.10% completed in 45.52 (sec) <<
[learning] epoch 0 >> 8.13% completed in 45.62 (sec) <<
[learning] epoch 0 >> 8.16% completed in 45.68 (sec) <<
[learning] epoch 0 >> 8.20% completed in 45.75 (sec) <<
[learning] epoch 0 >> 8.23% completed in 45.99 (sec) <<
[learning] epoch 0 >> 8.26% completed in 46.19 (sec) <<
[learning] epoch 0 >> 8.29% completed in 46.34 (sec) <<
[learning] epoch 0 >> 8.33% completed in 46.66 (sec) <<
